datetime,demand,total_incl_noncombustion
2020-12-25 10:00:00,-14405.389999999998,46365.74999999999
2020-12-25 11:00:00,-12810.126666666663,47250.0
2020-12-25 12:00:00,-12692.888333333329,46342.12500000001
2020-12-25 13:00:00,-12112.864999999998,45417.37500000001
2020-12-25 14:00:00,-11817.874999999996,44888.625
2020-12-25 15:00:00,-13619.956666666665,43031.25
2020-12-25 16:00:00,-4185.954999999998,37288.125
2020-12-25 17:00:00,-1081.9449999999981,38590.875
2020-12-25 18:00:00,-1036.8399999999992,40491.0
2020-12-25 19:00:00,-966.558333333332,41407.875
2020-12-25 20:00:00,-1346.043333333333,41199.74999999999
2020-12-25 23:00:00,-1589.7183333333332,38977.875
2020-12-26 08:00:00,-4496.838333333331,41457.375
2020-12-26 09:00:00,-11687.94333333333,46586.25
2020-12-26 10:00:00,-15940.669999999995,48489.75
2020-12-26 11:00:00,-13891.779999999995,49693.5
2020-12-26 12:00:00,-13317.641666666663,49258.12500000001
2020-12-26 13:00:00,-12070.98333333333,48147.75
2020-12-26 14:00:00,-11316.079999999998,47412.0
2020-12-26 15:00:00,-12891.249999999998,44844.75
2020-12-26 16:00:00,-5696.916666666666,41717.25000000001
2020-12-26 17:00:00,-2877.888333333332,44137.125
2020-12-27 04:00:00,-1844.248333333333,32450.624999999996
2020-12-27 05:00:00,-1852.1749999999997,32225.624999999996
2020-12-27 06:00:00,-1650.2366666666667,32141.249999999996
2020-12-27 07:00:00,-1729.4866666666667,33030.0
2020-12-27 09:00:00,-3792.3583333333313,39684.375
2020-12-27 10:00:00,-7548.568333333332,42332.62500000001
2020-12-27 11:00:00,-6879.034999999997,43970.62500000001
2020-12-27 12:00:00,-7516.449999999996,43589.25000000001
2020-12-27 13:00:00,-7658.301666666664,42103.125
2020-12-27 14:00:00,-7418.23833333333,41407.87500000001
2020-12-27 15:00:00,-8653.279999999997,38551.5
2020-12-27 16:00:00,-934.038333333332,33528.375
2020-12-27 20:00:00,-36.563333333332594,39426.74999999999
2020-12-27 21:00:00,-233.32833333333247,39263.625
2020-12-28 09:00:00,-4557.744999999998,41898.37500000001
2020-12-28 10:00:00,-6970.204999999998,44485.875
2020-12-28 11:00:00,-5248.614999999997,44834.625
2020-12-28 12:00:00,-5299.03333333333,44163.00000000001
2020-12-28 13:00:00,-4629.106666666664,43074.0
